질문번호,질문,답변1,답변2,답변3,답변항목 설명
q17_11,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_11. 남녀 모두 행복한 도시","4 (712.9명, 41.8%)","3 (623.7명, 36.6%)","5 (209.5명, 12.3%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
q17_12,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_12. 빈부격차가 없는 도시","3 (766.5명, 45.0%)","4 (434.5명, 25.5%)","2 (280.9명, 16.5%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
q17_2,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_2. 인정과 여유가 넘치는 도시","4 (749.0명, 44.0%)","3 (517.0명, 30.3%)","5 (344.0명, 20.2%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
q17_3,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_3. 자연경관이 아름다운 도시","4 (819.6명, 48.1%)","3 (455.3명, 26.7%)","5 (369.8명, 21.7%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
q17_4,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_4. 기업하기 좋은 도시","4 (664.8명, 39.0%)","3 (662.2명, 38.9%)","5 (252.2명, 14.8%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
q17_5,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_5. 교통이 편리한 도시","4 (764.0명, 44.8%)","3 (480.4명, 28.2%)","5 (254.5명, 14.9%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
q17_6,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_6. 자연재난으로부터 안전한 도시","4 (771.7명, 45.3%)","3 (519.0명, 30.5%)","5 (283.5명, 16.6%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
q17_7,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_7. 문화예술이 풍부한 도시","4 (851.1명, 50.0%)","3 (449.7명, 26.4%)","5 (321.8명, 18.9%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
q17_8,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_8. 첨단 산업 도시","4 (711.7명, 41.8%)","3 (593.3명, 34.8%)","5 (235.3명, 13.8%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
q17_9,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_9. 사회적 약자를 배려하는 도시","3 (753.8명, 44.3%)","4 (611.0명, 35.9%)","5 (180.2명, 10.6%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
