질문번호,질문내용,답변,응답 수
q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)",9.0,26
q4,"4. 민선8기 이재준 시장 취임 당시 가졌던 기대감과 현재 수원시정의 성과를 비교할 때, 취임당시 기대감 대비 현재 성과는 어떻습니까?",2.0,541
q4,"4. 민선8기 이재준 시장 취임 당시 가졌던 기대감과 현재 수원시정의 성과를 비교할 때, 취임당시 기대감 대비 현재 성과는 어떻습니까?",1.0,443
q4,"4. 민선8기 이재준 시장 취임 당시 가졌던 기대감과 현재 수원시정의 성과를 비교할 때, 취임당시 기대감 대비 현재 성과는 어떻습니까?",3.0,403
q4,"4. 민선8기 이재준 시장 취임 당시 가졌던 기대감과 현재 수원시정의 성과를 비교할 때, 취임당시 기대감 대비 현재 성과는 어떻습니까?",5.0,272
q4,"4. 민선8기 이재준 시장 취임 당시 가졌던 기대감과 현재 수원시정의 성과를 비교할 때, 취임당시 기대감 대비 현재 성과는 어떻습니까?",4.0,122
q5_1,"5-1. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_1. 정책과정의 민주성",5.0,556
q5_1,"5-1. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_1. 정책과정의 민주성",4.0,465
q5_1,"5-1. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_1. 정책과정의 민주성",6.0,403
q5_1,"5-1. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_1. 정책과정의 민주성",3.0,183
q5_1,"5-1. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_1. 정책과정의 민주성",7.0,104
q5_1,"5-1. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_1. 정책과정의 민주성",2.0,53
q5_1,"5-1. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_1. 정책과정의 민주성",1.0,17
q5_2,"5-2. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_2. 정책의 이념적 지향",5.0,533
